ID,Project_Code,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Vendor,Brand,Dosage,Dosage_Form,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD
108,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,2007-10-02 00:00:00,2007-10-02 00:00:00,2007-10-02 00:00:00,BRISTOL-MYERS SQUIBB,Videx,200mg,Tablet,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",2126,Freight Included in Commodity Cost,224.93
115,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-10-15 00:00:00,2007-10-15 00:00:00,2007-10-15 00:00:00,Aurobindo Pharma Limited,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",941,4193.49,3.07
116,108-VN-T01,Vietnam,PMO - US,Direct Drop,FCA,Air,2007-08-27 00:00:00,2007-08-27 00:00:00,2007-08-27 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,117,1767.38,65.75
161,117-ET-T01,Ethiopia,PMO - US,Direct Drop,EXW,Air,2007-11-20 00:00:00,2007-11-20 00:00:00,2007-11-20 00:00:00,Aurobindo Pharma Limited,Generic,30mg,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",4228,12237.61,158.72
269,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-01-21 00:00:00,2008-01-21 00:00:00,2008-01-21 00:00:00,"GILEAD SCIENCES IRELAND, INC.",Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,76,2282.57,27.2
270,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-01-21 00:00:00,2008-01-21 00:00:00,2008-01-21 00:00:00,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",23,2149.05,5.36
420,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-06-03 00:00:00,2008-06-03 00:00:00,2008-06-03 00:00:00,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,654,4051.34,154.29
422,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-04-24 00:00:00,2008-04-24 00:00:00,2008-04-24 00:00:00,S. BUYS WHOLESALER,Invirase,200mg,Capsule,270,6,405.06,67.51,0.25,Roche Basel,Weight Captured Separately,Freight Included in Commodity Cost,0.65
423,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-04-24 00:00:00,2008-04-24 00:00:00,2008-04-24 00:00:00,S. BUYS WHOLESALER,Zerit,1mg/ml,Powder for oral solution,200,600,870.0,1.45,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,1.39
438,108-VN-T01,Vietnam,PMO - US,Direct Drop,CIP,Air,2008-07-12 00:00:00,2008-07-12 00:00:00,2008-07-12 00:00:00,BRISTOL-MYERS SQUIBB,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",81,2211.05,4.48
530,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-09-19 00:00:00,2008-09-19 00:00:00,2008-09-19 00:00:00,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,1537,13507.92,29.37
531,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-08-20 00:00:00,2008-08-20 00:00:00,2008-08-20 00:00:00,S. BUYS WHOLESALER,Zerit,20mg,Capsule,60,20,103.4,5.17,0.09,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,0.2
532,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-08-20 00:00:00,2008-05-08 00:00:00,2008-05-08 00:00:00,S. BUYS WHOLESALER,Videx EC,250mg,Delayed-release capsules - blister,30,100,1906.0,19.06,0.64,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,3.05
533,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-08-20 00:00:00,2008-05-08 00:00:00,2008-05-08 00:00:00,S. BUYS WHOLESALER,Zerit,1mg/ml,Powder for oral solution,200,670,1025.1,1.53,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,1.64
535,109-TZ-T01,Tanzania,PMO - US,Direct Drop,CIP,Air,2008-09-02 00:00:00,2008-09-02 00:00:00,2008-09-02 00:00:00,BRISTOL-MYERS SQUIBB,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",117,645.1,98.35
598,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-06-12 00:00:00,2008-06-09 00:00:00,2008-06-09 00:00:00,S. BUYS WHOLESALER,Ziagen,300mg,Tablet - blister,60,30,1049.4,34.98,0.58,GSK Ware (UK),Weight Captured Separately,Freight Included in Commodity Cost,1.68
610,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-09-19 00:00:00,2008-09-19 00:00:00,2008-09-19 00:00:00,Aurobindo Pharma Limited,Generic,150mg,Tablet,60,38640,92736.0,2.4,0.04,"Aurobindo Unit III, India",2719,18614.72,148.38
630,112-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,2009-02-25 00:00:00,2008-09-09 00:00:00,2008-09-09 00:00:00,IDA FOUNDATION,Coartem,20/120mg,Tablet - FDC + blister,540,34,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",115,1755.87,2.48
637,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-10-08 00:00:00,2008-10-08 00:00:00,2008-10-08 00:00:00,Aurobindo Pharma Limited,Generic,30mg,Capsule,60,42000,60900.0,1.45,0.02,"Aurobindo Unit III, India",2600,10179.16,97.44
646,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-07-10 00:00:00,2008-07-08 00:00:00,2008-07-08 00:00:00,S. BUYS WHOLESALER,Viramune,10mg/ml,Oral suspension,240,50,696.5,13.93,0.06,"BI, Ingelheim, Germany",Weight Captured Separately,Freight Included in Commodity Cost,1.11
660,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-11-27 00:00:00,2008-11-27 00:00:00,2008-11-27 00:00:00,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,600mg,Tablet,30,16800,171192.0,10.19,0.34,Mylan (formerly Matrix) Nashik,1224,4686.88,335.54
719,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2009-01-23 00:00:00,2009-01-23 00:00:00,2009-01-23 00:00:00,IDA FOUNDATION,Generic,50+153mg,Tablet - FDC + co-blister,12,25000,9750.0,0.39,0.03,Ipca Dadra/Nagar Haveli IN,1708,12830.91,19.11
772,131-NG-T01,Nigeria,PMO - US,Direct Drop,CIP,Air,2009-03-10 00:00:00,2009-04-08 00:00:00,2009-04-08 00:00:00,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,600/200/300mg,Tablet - FDC,30,9,453.6,50.4,1.68,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost,0.89
835,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17 00:00:00,2008-10-09 00:00:00,2008-10-09 00:00:00,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,80,1830.4,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost,3.59
836,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17 00:00:00,2009-05-17 00:00:00,2009-05-17 00:00:00,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,120,2745.6,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost,5.38
837,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17 00:00:00,2008-10-09 00:00:00,2008-10-09 00:00:00,S. BUYS WHOLESALER,Zerit,1mg/ml,Powder for oral solution,200,600,858.0,1.43,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,1.68
838,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17 00:00:00,2008-10-09 00:00:00,2008-10-09 00:00:00,S. BUYS WHOLESALER,Videx,100mg,Chewable/dispersible tablet,60,7,91.35,13.05,0.22,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,0.18
839,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17 00:00:00,2008-10-09 00:00:00,2008-10-09 00:00:00,S. BUYS WHOLESALER,Kaletra,80/20mg/ml,Oral solution,300,40,1375.6,34.39,0.11,ABBVIE (Abbott) Logis. UK,Weight Captured Separately,Freight Included in Commodity Cost,2.7
858,109-TZ-T01,Tanzania,PMO - US,Direct Drop,CIP,Air,2009-04-21 00:00:00,2009-04-21 00:00:00,2009-04-21 00:00:00,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,600/200/300mg,Tablet - FDC,30,50000,2520000.0,50.4,1.68,"MSD, Haarlem, NL",4093,9339,4939.2
914,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2009-03-02 00:00:00,2009-03-02 00:00:00,2009-03-02 00:00:00,IDA FOUNDATION,Generic,600mg/2ml,Injection,100,140,2731.4,19.51,0.2,Gland Pharma Ltd Pally Factory,5209,25405.22,5.35
960,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-04-10 00:00:00,2009-04-10 00:00:00,2009-04-10 00:00:00,Aurobindo Pharma Limited,Generic,150/300mg,Tablet - FDC,60,5964,51350.04,8.61,0.14,"Aurobindo Unit III, India",3509,12835.2,100.65
961,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-04-10 00:00:00,2009-04-10 00:00:00,2009-04-10 00:00:00,Aurobindo Pharma Limited,Generic,150mg,Tablet,60,21000,50400.0,2.4,0.04,"Aurobindo Unit III, India",See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),98.78
962,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-03-23 00:00:00,2009-03-23 00:00:00,2009-03-23 00:00:00,CIPLA LIMITED,Generic,150/200/30mg,Tablet - FDC,60,10560,72864.0,6.9,0.12,"Cipla, Goa, India",924,4225.93,142.81
979,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-03-16 00:00:00,2009-03-16 00:00:00,2009-03-16 00:00:00,Aurobindo Pharma Limited,Generic,150/300mg,Tablet - FDC,60,2352,20250.72,8.61,0.14,"Aurobindo Unit III, India",211,892.5,39.69
985,109-TZ-T01,Tanzania,PMO - US,Direct Drop,FCA,Air,2009-05-28 00:00:00,2009-05-28 00:00:00,2009-05-28 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Kaletra,80/20mg/ml,Oral solution,300,524,21536.4,41.1,0.14,ABBVIE (Abbott) Logis. UK,644,6668.61,42.21
986,109-TZ-T01,Tanzania,PMO - US,Direct Drop,FCA,Air,2009-05-04 00:00:00,2009-05-04 00:00:00,2009-05-04 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Generic,100/25mg,Tablet,60,2094,21526.32,10.28,0.17,ABBVIE Ludwigshafen Germany,237,Freight Included in Commodity Cost,42.19
